sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI002S4219	ses-M012	task-rest		140	0.7626433377785116	0.5271971071711491	5.186328168997899	0.2142857142857142	30	1.214038438848921	2	-23.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI002S6652	ses-M000	task-rest		976	0.1123845808613965	0.0987892488983211	0.4217709411171025	0.0	0	1.0243122102564104	2	-34.0	0	1	1	mriqc_outlier
sub-ADNI002S6652	ses-M012	task-rest		976	0.1329760948499708	0.1176825491522155	0.6289899194604932	0.0	0	1.0544263630769233	2	-51.0	0	1	1	mriqc_outlier
sub-ADNI003S1074	ses-M126	task-rest		197	0.2905762922297154	0.0983483954450744	3.761431620773504	0.0862944162436548	17	1.1539392653061225	3	-68.0	0	1	1	mriqc_outlier
sub-ADNI003S1122	ses-M150	task-rest		197	0.0776779460691828	0.0681620174527835	0.2447905104682197	0.0	0	1.0777512653061223	3	-27.0	0	1	1	mriqc_outlier
sub-ADNI003S4288	ses-M072	task-rest		197	0.311195715951678	0.275289620500225	1.5863988498366193	0.0355329949238578	7	1.1975759183673471	3	-49.0	0	1	1	mriqc_outlier
sub-ADNI003S4288	ses-M096	task-rest		197	0.2575412604226003	0.225645070549342	1.155674131372998	0.0203045685279187	4	1.1866474540816327	3	-45.0	0	1	1	mriqc_outlier
sub-ADNI003S4288	ses-M120	task-rest		946	0.1539619282069894	0.1213154662609651	0.760409474087577	0.0	0	1.0892113322751322	3	-10.0	0	1	1	mriqc_outlier
sub-ADNI003S4354	ses-M066	task-rest		197	0.5631801783725143	0.3641880048812519	8.437252789947875	0.1269035532994923	25	1.2732170357142858	3	-45.0	0	1	1	mriqc_outlier
sub-ADNI003S4354	ses-M090	task-rest		197	0.6573584134916168	0.5305921630751326	4.906755230735085	0.2791878172588832	55	1.2493945765306125	3	-74.0	0	1	1	mriqc_outlier
sub-ADNI003S5154	ses-M108	task-rest		197	0.1339944451456093	0.1147329169755997	0.5477360550015645	0.0	0	1.174043637755102	3	-93.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI003S6833	ses-M000	task-rest		197	0.1331421340522105	0.1123304377354443	0.4671854817273071	0.0	0	1.0627452806122448	3	-48.0	0	1	1	mriqc_outlier
sub-ADNI006S4679	ses-M003	task-rest		140	0.7379946854597469	0.6255254416635656	3.3994947953716217	0.3642857142857142	51	1.2015818273381291	6	-12.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI006S6696	ses-M000	task-rest		197	0.2887212479982284	0.213188661681296	1.5083013365628033	0.0304568527918781	6	1.315619964285714	6	-11.0	0	1	1	mriqc_outlier
sub-ADNI007S4272	ses-M072	task-rest		976	0.3000147014802815	0.2444890977836386	1.5258802084492238	0.0358606557377049	35	1.026789113846154	7	-78.0	1	0	1	euler_site_outlier
sub-ADNI007S4272	ses-M084	task-rest		976	0.2005907899063206	0.1555219951732412	1.3840855627646345	0.0133196721311475	13	1.046141278974359	7	-91.0	1	0	1	euler_site_outlier
sub-ADNI007S4272	ses-M096	task-rest		976	0.2663738810477533	0.1854628652817485	2.7270386258034502	0.0420081967213114	41	1.060531358974359	7	-141.0	1	0	1	euler_site_outlier
sub-ADNI007S4272	ses-M114	task-rest		976	0.5095959575848149	0.3937275456445978	3.800289842328206	0.1618852459016393	158	1.118433172307692	7	-126.0	1	0	1	euler_site_outlier
sub-ADNI009S0751	ses-M180	task-rest		200	0.2292677897884312	0.1035199680689048	2.5326093976410347	0.055	11	0.9994609396984924	9	-55.0	0	1	1	mriqc_outlier
sub-ADNI009S0751	ses-M192	task-rest		200	0.1619987496446674	0.0884710376221221	1.4704565931096716	0.03	6	0.9358996783919598	9	-46.0	0	1	1	mriqc_outlier
sub-ADNI009S4324	ses-M090	task-rest		200	0.3801662852919949	0.1388335880271555	7.414728858201009	0.115	23	0.8751224522613066	9	-55.0	0	1	1	mriqc_outlier
sub-ADNI009S4612	ses-M114	task-rest		200	0.255387223105501	0.208347622637299	1.5012478547525978	0.015	3	0.8521898442211056	9	-115.0	0	1	1	mriqc_outlier
sub-ADNI010S4442	ses-M000	task-rest		140	0.4142435181713078	0.3710646909425724	1.0681193776888984	0.0428571428571428	6	1.1894724676258994	10	-56.0	0	1	1	mriqc_outlier
sub-ADNI010S4442	ses-M003	task-rest		140	0.1485233157808	0.1259378055162649	0.4641819818048602	0.0	0	1.1415514604316548	10	-65.0	0	1	1	mriqc_outlier
sub-ADNI010S4442	ses-M006	task-rest		140	0.3227898926050481	0.2848589102777604	1.020575519370994	0.0214285714285714	3	1.223180251798561	10	-99.0	0	1	1	mriqc_outlier
sub-ADNI010S4442	ses-M012	task-rest		140	0.217048295293233	0.1593796071355906	1.1764481914306328	0.0214285714285714	3	1.308426604316547	10	-66.0	0	1	1	mriqc_outlier
sub-ADNI011S7048	ses-M000	task-rest		197	0.1933800567688972	0.1524486655664254	1.4343592646040766	0.0203045685279187	4	1.1586192346938775	11	-5.0	0	1	1	mriqc_outlier
sub-ADNI012S4094	ses-M072	task-rest		197	1.0521026566125018	0.7302074667054245	10.527501651831738	0.4467005076142132	88	1.012492974489796	12	-10.0	0	1	1	mean_fd_p>0.7;prop_fd_p_over_thresh>0.4;mriqc_outlier
sub-ADNI012S4128	ses-M012	task-rest		140	0.6806435248628452	0.5920187428024424	2.4586282391937635	0.2571428571428571	36	1.2240577841726616	12	-11.0	0	1	1	mriqc_outlier
sub-ADNI012S5213	ses-M024	task-rest		200	0.7301193049783703	0.6081302511408138	2.5600025355034908	0.355	71	1.10811867839196	12	-41.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI012S6760	ses-M030	task-rest		197	0.7070724795313807	0.594285315196533	2.356553045659705	0.3350253807106599	66	1.30034975	12	-13.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI013S6768	ses-M000	task-rest		197	0.7943337141612843	0.3603738435670077	5.539562499653236	0.2791878172588832	55	1.0643970357142856	13	-44.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI016S6939	ses-M000	task-rest		197	0.2708608140803284	0.2113810934433327	1.0988037612559192	0.0253807106598984	5	1.1050038520408163	16	-20.0	0	1	1	mriqc_outlier
sub-ADNI016S6941	ses-M000	task-rest		197	0.2639688045019737	0.1935568692973351	2.321454022657919	0.0304568527918781	6	1.0958822244897957	16	-15.0	0	1	1	mriqc_outlier
sub-ADNI018S4809	ses-M000	task-rest		140	0.6156670744038659	0.4597082672543627	2.242741455037107	0.3	42	1.1912529928057554	18	-46.0	0	1	1	mriqc_outlier
sub-ADNI018S4889	ses-M012	task-rest		140	0.2588334660656393	0.1546684007013713	1.8793660425622016	0.0571428571428571	8	1.2749405323741003	18	-8.0	0	1	1	mriqc_outlier
sub-ADNI018S4889	ses-M024	task-rest		200	0.7088621448660299	0.6642146195048096	2.101371210348729	0.395	79	1.1388431658291458	18	-7.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI019S4477	ses-M024	task-rest		140	0.6289339965752441	0.4591904346778123	2.961429833539216	0.2428571428571428	34	1.1200925179856114	19	-11.0	0	1	1	mriqc_outlier
sub-ADNI020S6513	ses-M012	task-rest		197	0.2132728510891423	0.0728121008049853	2.807957172825449	0.0558375634517766	11	1.0965672091836736	20	-14.0	0	1	1	mriqc_outlier
sub-ADNI021S0337	ses-M132	task-rest		200	0.1536422597264735	0.1377017293722848	0.8505605028465656	0.005	1	1.042219763819095	21	-57.0	0	1	1	mriqc_outlier
sub-ADNI021S0337	ses-M156	task-rest		200	0.1393879822421703	0.0980963093705443	0.957121789721234	0.005	1	0.937815718592965	21	-80.0	0	1	1	mriqc_outlier
sub-ADNI021S0337	ses-M180	task-rest		200	0.2163478948137844	0.1553537465362779	1.5086895264341436	0.04	8	1.0626	21	-64.0	0	1	1	mriqc_outlier
sub-ADNI021S4744	ses-M072	task-rest		200	0.1403775344136735	0.097014682988249	0.7402147475050661	0.0	0	2.2932516984924622	21	-31.0	0	1	1	mriqc_outlier
sub-ADNI021S6994	ses-M000	task-rest		200	0.2248463926931985	0.1899835279790473	0.7789087802991483	0.0	0	1.010218487437186	21	-82.0	1	0	1	euler_site_outlier
sub-ADNI021S6994	ses-M012	task-rest		200	0.1790273442307923	0.1414807155899208	0.7923482442250634	0.0	0	1.033912296482412	21	-136.0	1	0	1	euler_site_outlier
sub-ADNI022S2263	ses-M120	task-rest		197	0.1348738960928166	0.109433053263886	0.6944337214376435	0.0	0	1.0951161071428572	22	-25.0	0	1	1	mriqc_outlier
sub-ADNI022S6013	ses-M024	task-rest		197	0.2362994498320371	0.0976298401780248	2.7621360149596006	0.065989847715736	13	1.0403734948979593	22	-3.0	0	1	1	mriqc_outlier
sub-ADNI022S6716	ses-M024	task-rest		197	0.2045537308443359	0.1709586651363503	0.8715533524376929	0.0050761421319796	1	1.0576627551020408	22	-30.0	0	1	1	mriqc_outlier
sub-ADNI023S0031	ses-M150	task-rest		951	0.2009650238773161	0.1614392781015544	2.406336622057154	0.0178759200841219	17	1.0298016757894737	23	-82.0	0	1	1	mriqc_outlier
sub-ADNI023S0031	ses-M162	task-rest		976	0.2205511810837363	0.2068415484915359	1.57245864548436	0.0061475409836065	6	1.045851274871795	23	-71.0	0	1	1	mriqc_outlier
sub-ADNI023S1190	ses-M132	task-rest		197	0.3784936402065724	0.3481756889166201	1.1723764821979468	0.0406091370558375	8	1.1359882346938777	23	-91.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI023S1190	ses-M144	task-rest		976	0.4996390079421862	0.440837691502036	2.0237736597692826	0.1844262295081967	180	1.0701429999999998	23	-138.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI023S1190	ses-M156	task-rest		976	0.6656030322283403	0.6194941268550171	1.917339311883711	0.382172131147541	373	1.0166033405128203	23	-122.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI023S4115	ses-M078	task-rest		976	0.114431263707801	0.0981454903850718	1.0933076527739047	0.0010245901639344	1	1.090190474871795	23	-85.0	1	0	1	euler_site_outlier
sub-ADNI023S4115	ses-M090	task-rest		976	0.09331474638603	0.0854156563937035	0.3901633346649344	0.0	0	1.0743098297435898	23	-91.0	1	0	1	euler_site_outlier
sub-ADNI023S4115	ses-M102	task-rest		976	0.1207664954735358	0.0986352245607122	1.0162887576890682	0.0010245901639344	1	1.045053563076923	23	-97.0	1	0	1	euler_site_outlier
sub-ADNI023S4115	ses-M114	task-rest		976	0.1210952088750832	0.1034859583820919	0.5670280444291188	0.0	0	1.0815757876923076	23	-104.0	1	0	1	euler_site_outlier
sub-ADNI023S4115	ses-M126	task-rest		976	0.0958842853972801	0.0894686968497692	0.3159350701322096	0.0	0	1.12341712	23	-98.0	1	0	1	euler_site_outlier
sub-ADNI023S4164	ses-M120	task-rest		976	0.2469453565146435	0.23836537143487	0.8313361706040894	0.0010245901639344	1	1.1399434276923075	23	-17.0	0	1	1	mriqc_outlier
sub-ADNI023S6356	ses-M012	task-rest		976	0.2056993489095653	0.0924730545995548	11.018249623199978	0.0348360655737704	34	1.0796325097435897	23	-35.0	0	1	1	mriqc_outlier
sub-ADNI023S6374	ses-M048	task-rest		976	0.1152934678254487	0.1097376650960481	0.2858632798040241	0.0	0	1.2009851815384616	23	-7.0	0	1	1	mriqc_outlier
sub-ADNI023S6399	ses-M048	task-rest		976	0.2873044108951161	0.2357251856090962	1.2871058419880417	0.0112704918032786	11	1.070193762051282	23	-46.0	0	1	1	mriqc_outlier
sub-ADNI023S6702	ses-M024	task-rest		976	0.7001893813691894	0.4693940531961273	3.691628543424689	0.3186475409836065	311	1.0403200964102566	23	-21.0	0	0	1	mean_fd_p>0.7
sub-ADNI023S6702	ses-M036	task-rest		976	0.7199590930155594	0.5413333272299641	3.757518960755269	0.3073770491803279	300	1.1082907364102563	23	-12.0	0	0	1	mean_fd_p>0.7
sub-ADNI024S2239	ses-M090	task-rest		197	0.5038100269629113	0.3289845236082077	3.979743110818526	0.1928934010152284	38	1.004001306122449	24	-7.0	0	1	1	mriqc_outlier
sub-ADNI024S2239	ses-M132	task-rest		976	0.2054032116177962	0.1895091713021934	0.6552086006034767	0.0	0	1.0251087076923078	24	-16.0	0	1	1	mriqc_outlier
sub-ADNI024S6202	ses-M048	task-rest		976	0.214945269850534	0.1957946902092031	0.8907778370816993	0.0020491803278688	2	1.047115676923077	24	-57.0	0	1	1	mriqc_outlier
sub-ADNI027S0074	ses-M156	task-rest		200	0.1057043693557555	0.0921294505968822	0.8124414695468417	0.005	1	1.1666189798994977	27	-75.0	0	1	1	mriqc_outlier
sub-ADNI027S0074	ses-M180	task-rest		200	0.1454724995900862	0.1200106907633257	0.7853309573983616	0.0	0	1.0623476130653269	27	-47.0	0	1	1	mriqc_outlier
sub-ADNI027S5169	ses-M072	task-rest		200	0.1482774588973449	0.1030178871283028	0.6952584646458584	0.0	0	1.0218765527638192	27	-27.0	0	1	1	mriqc_outlier
sub-ADNI027S6463	ses-M000	task-rest		200	0.0970411691331343	0.0808002910754123	0.4180102093403592	0.0	0	1.088536582914573	27	-97.0	0	1	1	mriqc_outlier
sub-ADNI027S6733	ses-M000	task-rest		200	0.4599259667761003	0.2872156571008969	3.263202095640452	0.185	37	1.277580542713568	27	-117.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI029S6505	ses-M000	task-rest		200	0.1469019998367098	0.0763447314210085	3.1007250995223123	0.03	6	1.0609485477386935	29	-10.0	0	1	1	mriqc_outlier
sub-ADNI031S4721	ses-M078	task-rest		197	0.1719093805538729	0.1264917389873731	1.1295800441707906	0.015228426395939	3	1.197510918367347	31	-66.0	0	1	1	mriqc_outlier
sub-ADNI032S1169	ses-M132	task-rest		197	0.2219255315799269	0.1911952648198676	1.0239182794635708	0.015228426395939	3	1.2484163622448978	32	-81.0	0	1	1	mriqc_outlier
sub-ADNI032S6293	ses-M000	task-rest		197	0.0831996621001743	0.0633472183278318	0.4949483029723583	0.0	0	1.201225581632653	32	-80.0	0	1	1	mriqc_outlier
sub-ADNI032S6293	ses-M012	task-rest		197	0.2424334128849789	0.2055328093117787	1.3181904712426191	0.0101522842639593	2	1.097361198979592	32	-51.0	0	1	1	mriqc_outlier
sub-ADNI032S6294	ses-M000	task-rest		197	0.0687475516670743	0.0590733132427303	0.4468565902966093	0.0	0	1.1866909081632653	32	-53.0	0	1	1	mriqc_outlier
sub-ADNI032S6600	ses-M012	task-rest		197	0.1901843141226329	0.130440518241418	1.962829551676292	0.0101522842639593	2	1.311544612244898	32	-14.0	0	1	1	mriqc_outlier
sub-ADNI033S6705	ses-M000	task-rest		197	0.8810898429130549	0.4128798218580908	20.39844407407572	0.1522842639593908	30	1.1783084387755105	33	-5.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI033S6705	ses-M012	task-rest		197	1.1426163421890891	0.2793690301760366	18.536708940802143	0.2284263959390862	45	1.1384290408163265	33	-83.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI033S6705	ses-M024	task-rest		197	1.0717923521799764	0.3448781893397522	22.194986788096127	0.2233502538071066	44	1.123438714285714	33	-24.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI035S0555	ses-M132	task-rest		197	0.1274044820287842	0.0954848537471823	0.8296055651809138	0.0050761421319796	1	1.2408300969387756	35	-36.0	0	1	1	mriqc_outlier
sub-ADNI035S6488	ses-M024	task-rest		197	0.0866777930304324	0.0596876150344174	0.5536397361822367	0.0	0	1.1207490102040816	35	-52.0	0	1	1	mriqc_outlier
