sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI002S0295	ses-M060	task-rest		140	0.2513881183464676	0.2399761873054002	0.9714170365955755	0.0071428571428571	1	1.349155870503597	2	-5.0	0	0	0	
sub-ADNI002S0295	ses-M072	task-rest		140	0.171520705391125	0.14884253552224	0.4784800986972961	0.0	0	1.411278870503597	2	-16.0	0	0	0	
sub-ADNI002S0685	ses-M060	task-rest		140	0.2446279206846834	0.1994387323476402	0.8884891873459553	0.0071428571428571	1	1.0973094964028778	2	-21.0	0	0	0	
sub-ADNI002S0685	ses-M072	task-rest		140	0.106754258556865	0.0911068711029213	0.316151837805563	0.0	0	1.121236021582734	2	-25.0	0	0	0	
sub-ADNI002S0729	ses-M060	task-rest		140	0.2058737490123747	0.1438289035127721	1.0334953303836285	0.0071428571428571	1	1.2884098273381297	2	-11.0	0	0	0	
sub-ADNI002S0729	ses-M072	task-rest		140	0.3384223428625281	0.2365182819904411	1.3049356664207006	0.0785714285714285	11	1.312494309352518	2	-10.0	0	0	0	
sub-ADNI002S0729	ses-M084	task-rest		140	0.3206878065323642	0.2949151687673854	1.060354049133299	0.0285714285714285	4	1.265829489208633	2	-7.0	0	0	0	
sub-ADNI002S1155	ses-M060	task-rest		140	0.1430475226826451	0.1453172438043352	0.3390606684403623	0.0	0	1.261464309352518	2	-3.0	0	0	0	
sub-ADNI002S1155	ses-M072	task-rest		140	0.1610096054699628	0.1251872423777181	1.42234227356732	0.0142857142857142	2	1.1849180503597123	2	-13.0	0	0	0	
sub-ADNI002S1155	ses-M084	task-rest		140	0.1251725485192042	0.1182215521981095	0.349262896244655	0.0	0	1.2504855323741009	2	-5.0	0	0	0	
sub-ADNI002S1155	ses-M096	task-rest		200	0.3084839914849938	0.2741127531581192	1.2105908645769212	0.02	4	1.2001283567839196	2	-7.0	0	0	0	
sub-ADNI002S1155	ses-M126	task-rest		197	0.1947315069676826	0.1469068525337788	1.3416349937644465	0.0101522842639593	2	1.012607464285714	2	-14.0	0	0	0	
sub-ADNI002S1155	ses-M138	task-rest		197	0.1111673796477631	0.0940831890289484	0.6574748556172494	0.0	0	1.253526801020408	2	-11.0	0	0	0	
sub-ADNI002S1155	ses-M150	task-rest		976	0.1100537376477135	0.090732408247924	0.5038226764278199	0.0	0	1.1432673487179488	2	-11.0	0	0	0	
sub-ADNI002S4219	ses-M000	task-rest		140	0.4489345675664144	0.3292402077606077	2.63908369832485	0.0785714285714285	11	1.368913762589928	2	-15.0	0	0	0	
sub-ADNI002S4219	ses-M003	task-rest		140	0.3728934127335614	0.3200774864645642	1.5650991532610397	0.05	7	1.0952933669064748	2	-15.0	0	0	0	
sub-ADNI002S4219	ses-M006	task-rest		140	0.1766641825105182	0.1484679231347009	0.791080728313105	0.0	0	1.2628482661870504	2	-10.0	0	0	0	
sub-ADNI002S4225	ses-M000	task-rest		140	0.4435061478848701	0.3835398334816299	1.2078269237484742	0.1285714285714285	18	1.2371590071942449	2	-15.0	0	0	0	
sub-ADNI002S4225	ses-M003	task-rest		140	0.3689784612487031	0.239773502992574	1.848141369281162	0.1071428571428571	15	1.201430820143885	2	-19.0	0	0	0	
sub-ADNI002S4225	ses-M006	task-rest		140	0.1984242276434465	0.1511657406856982	0.8117297762816609	0.0071428571428571	1	1.267613014388489	2	-18.0	0	0	0	
sub-ADNI002S4225	ses-M012	task-rest		140	0.1771018940121837	0.1316415073896488	1.0971325883777518	0.0142857142857142	2	1.309524726618705	2	-15.0	0	0	0	
sub-ADNI002S4225	ses-M024	task-rest		140	0.3087219584450055	0.2257981345707858	1.2008071307282089	0.0714285714285714	10	1.1987644100719423	2	-16.0	0	0	0	
sub-ADNI002S4225	ses-M084	task-rest		197	0.1869744930260795	0.1532694620613274	0.929727899910233	0.0203045685279187	4	1.2104747142857144	2	-7.0	0	0	0	
sub-ADNI002S4251	ses-M003	task-rest		140	0.168675966312211	0.1618712186176736	0.3449982076056367	0.0	0	1.3006018776978416	2	-22.0	0	0	0	
sub-ADNI002S4251	ses-M006	task-rest		140	0.1508391293257198	0.1470407462452034	0.3306821579001665	0.0	0	1.192891294964029	2	-14.0	0	0	0	
sub-ADNI002S4447	ses-M000	task-rest		140	0.1573615962566634	0.1403239692138001	0.7701170991623651	0.0	0	1.269602762589928	2	-11.0	0	0	0	
sub-ADNI002S4447	ses-M003	task-rest		140	0.2195264557411226	0.1906081134621556	1.2660254030912357	0.0071428571428571	1	1.240028381294964	2	-12.0	0	0	0	
sub-ADNI002S4447	ses-M006	task-rest		140	0.2117686107889139	0.1845948446940718	1.0639901608413442	0.0071428571428571	1	1.2483817410071942	2	-6.0	0	0	0	
sub-ADNI002S4447	ses-M012	task-rest		140	0.2103585843114631	0.1646203720592275	0.8383156139343124	0.0142857142857142	2	1.2600610287769785	2	-8.0	0	0	0	
sub-ADNI002S4447	ses-M024	task-rest		140	0.2730246135329696	0.252621535399454	1.0262350499723083	0.0142857142857142	2	1.2391280071942448	2	-23.0	0	0	0	
sub-ADNI002S4447	ses-M036	task-rest		200	0.4417126099863061	0.335207630005916	2.398550498929177	0.125	25	1.3128455226130653	2	-22.0	0	0	0	
sub-ADNI002S4746	ses-M000	task-rest		140	0.0869741879449029	0.0785225805221746	0.610977377325582	0.0	0	1.4168411007194246	2	-10.0	0	0	0	
sub-ADNI002S4746	ses-M003	task-rest		140	0.0801969682254953	0.0637530974270438	0.4534707185488722	0.0	0	1.0575668489208632	2	-9.0	0	0	0	
sub-ADNI002S4746	ses-M006	task-rest		140	0.2640908894320032	0.1587181170683103	1.8443350502329463	0.0357142857142857	5	1.0588537482014388	2	-13.0	0	0	0	
sub-ADNI002S4746	ses-M012	task-rest		140	0.1280972564838912	0.1051585185953987	0.6841081655557856	0.0	0	1.2164247697841726	2	-2.0	0	0	0	
sub-ADNI002S5018	ses-M000	task-rest		140	0.2053478166721508	0.1766427774730359	0.9760864689914476	0.0071428571428571	1	1.334187330935252	2	-15.0	0	0	0	
sub-ADNI002S5018	ses-M003	task-rest		140	0.2945263593506916	0.2436673249269076	1.6808521739807123	0.0285714285714285	4	1.4179391582733816	2	-14.0	0	0	0	
sub-ADNI002S5018	ses-M006	task-rest		140	0.2232046983460003	0.1961258219145562	0.7150975763532376	0.0	0	1.3285264820143885	2	-14.0	0	0	0	
sub-ADNI002S5018	ses-M012	task-rest		140	0.1957537548070672	0.1631301015018508	0.7660816249037126	0.0	0	1.2554104028776978	2	-18.0	0	0	0	
sub-ADNI002S6007	ses-M000	task-rest		197	0.1314191862333867	0.1132680017988922	0.6043294115487179	0.0	0	1.082290586734694	2	-25.0	0	0	0	
sub-ADNI002S6007	ses-M012	task-rest		197	0.0581449847032592	0.0512284462450146	0.2256257793911711	0.0	0	1.1597713673469388	2	-55.0	0	0	0	
sub-ADNI002S6007	ses-M024	task-rest		976	0.1520941513327996	0.119432535443175	0.7703979100719888	0.0	0	1.0528270666666666	2	-56.0	0	0	0	
sub-ADNI002S6009	ses-M000	task-rest		197	0.2775441607503709	0.2748842120128665	0.5497134682435996	0.0	0	1.2049419030612245	2	-7.0	0	0	0	
sub-ADNI002S6009	ses-M024	task-rest		976	0.0861911837631277	0.0617559735874739	0.7418345714289745	0.0	0	1.116072884102564	2	-7.0	0	0	0	
sub-ADNI002S6030	ses-M000	task-rest		197	0.1169062433145484	0.1100049105543276	0.2961369719711832	0.0	0	1.196140474489796	2	-15.0	0	0	0	
sub-ADNI002S6030	ses-M024	task-rest		976	0.0902993530424563	0.0791681121063111	0.6421631438748978	0.0	0	1.0675103128205128	2	-62.0	0	0	0	
sub-ADNI002S6053	ses-M000	task-rest		197	0.1833653425897961	0.17205810056207	0.5942368854061184	0.0	0	1.2339821785714284	2	-11.0	0	0	0	
sub-ADNI002S6053	ses-M024	task-rest		976	0.1485821398445791	0.1252588040766731	0.5648309450653838	0.0	0	1.1138037610256408	2	-17.0	0	0	0	
sub-ADNI002S6066	ses-M000	task-rest		197	0.0880757920753857	0.0579660685000937	0.9971987427967324	0.0050761421319796	1	1.0986144081632652	2	-11.0	0	0	0	
sub-ADNI002S6066	ses-M024	task-rest		976	0.1032578964190299	0.0932861958638436	0.4784385910770778	0.0	0	1.1243511087179487	2	-10.0	0	0	0	
sub-ADNI002S6103	ses-M000	task-rest		197	0.1638018534516349	0.1366565736098603	0.8015710473393849	0.0050761421319796	1	1.095754443877551	2	-22.0	0	0	0	
sub-ADNI002S6404	ses-M000	task-rest		197	0.3489805311050936	0.3001929966940834	0.992238469959168	0.0355329949238578	7	1.1133175765306125	2	-4.0	0	0	0	
sub-ADNI002S6456	ses-M000	task-rest		197	0.1470830810330081	0.1141527369275116	0.7293593829167688	0.0	0	1.2064600969387755	2	-23.0	0	0	0	
sub-ADNI002S6695	ses-M000	task-rest		976	0.0896213733246714	0.0694968365320556	0.6292639468970898	0.0	0	1.151627668717949	2	-46.0	0	0	0	
sub-ADNI003S0908	ses-M132	task-rest		197	0.1599242023953307	0.1417454520875004	0.7357916740620872	0.0	0	1.2467158010204085	3	-10.0	0	0	0	
sub-ADNI003S0908	ses-M144	task-rest		197	0.2060701077107465	0.1971500491936694	0.4865289651166226	0.0	0	1.2398096683673472	3	-8.0	0	0	0	
